timestamp,hour,day_of_week,month,is_weekend,ambient_temp,production_units,renewable_share,energy_kwh,lag_1h,lag_24h,rolling_mean_24h
2025-01-01 00:00:00,0,2,1,0,7.94,136.2,25.0,2058.38,2058.38,2058.38,2058.38
2025-01-01 01:00:00,1,2,1,0,10.78,120.9,25.0,2020.43,2058.38,2058.38,2058.38
2025-01-01 02:00:00,2,2,1,0,7.13,111.4,25.0,1926.24,2020.43,2058.38,2039.4050000000002
2025-01-01 03:00:00,3,2,1,0,8.77,122.8,25.0,1907.09,1926.24,2058.38,2001.6833333333334
2025-01-01 04:00:00,4,2,1,0,10.83,140.2,25.0,1990.72,1907.09,2058.38,1978.035
2025-01-01 05:00:00,5,2,1,0,10.15,119.8,25.0,1917.95,1990.72,2058.38,1980.5720000000001
2025-01-01 06:00:00,6,2,1,0,13.06,141.9,25.0,2092.61,1917.95,2058.38,1970.135
2025-01-01 07:00:00,7,2,1,0,16.08,146.0,32.8,2086.18,2092.61,2058.38,1987.6314285714286
2025-01-01 08:00:00,8,2,1,0,19.1,328.6,40.2,4344.13,2086.18,2058.38,1999.95
2025-01-01 09:00:00,9,2,1,0,22.2,287.8,46.8,4229.84,4344.13,2058.38,2260.4144444444446
2025-01-01 10:00:00,10,2,1,0,25.2,289.8,52.4,4175.24,4229.84,2058.38,2457.357
2025-01-01 11:00:00,11,2,1,0,29.72,352.7,56.5,4441.24,4175.24,2058.38,2613.5281818181816
2025-01-01 12:00:00,12,2,1,0,34.56,304.9,59.1,4455.35,4441.24,2058.38,2765.8375
2025-01-01 13:00:00,13,2,1,0,32.7,294.8,60.0,4337.29,4455.35,2058.38,2895.8
2025-01-01 14:00:00,14,2,1,0,30.49,287.1,59.1,4189.21,4337.29,2058.38,2998.7635714285716
2025-01-01 15:00:00,15,2,1,0,30.9,301.7,56.5,4371.06,4189.21,2058.38,3078.1266666666666
2025-01-01 16:00:00,16,2,1,0,28.7,302.5,52.4,4292.79,4371.06,2058.38,3158.935
2025-01-01 17:00:00,17,2,1,0,27.47,274.2,46.8,3548.65,4292.79,2058.38,3225.6323529411766
2025-01-01 18:00:00,18,2,1,0,26.87,210.4,40.2,3308.14,3548.65,2058.38,3243.577777777778
2025-01-01 19:00:00,19,2,1,0,21.85,268.3,32.8,3422.5,3308.14,2058.38,3246.9757894736845
2025-01-01 20:00:00,20,2,1,0,17.74,279.0,25.0,3526.67,3422.5,2058.38,3255.752
2025-01-01 21:00:00,21,2,1,0,15.23,215.1,25.0,3180.29,3526.67,2058.38,3268.6528571428576
2025-01-01 22:00:00,22,2,1,0,15.25,268.4,25.0,3449.95,3180.29,2058.38,3264.6363636363635
2025-01-01 23:00:00,23,2,1,0,12.06,143.1,25.0,2040.98,3449.95,2058.38,3272.6934782608696
2025-01-02 00:00:00,0,3,1,0,11.85,163.3,25.0,2161.99,2040.98,2058.38,3221.372083333333
2025-01-02 01:00:00,1,3,1,0,4.48,144.6,25.0,2112.74,2161.99,2020.43,3225.6891666666666
2025-01-02 02:00:00,2,3,1,0,5.87,111.8,25.0,1998.07,2112.74,1926.24,3229.535416666667
2025-01-02 03:00:00,3,3,1,0,8.08,145.6,25.0,2095.75,1998.07,1907.09,3232.528333333333
2025-01-02 04:00:00,4,3,1,0,8.42,138.7,25.0,2087.03,2095.75,1990.72,3240.3891666666664
2025-01-02 05:00:00,5,3,1,0,10.3,115.4,25.0,1942.3,2087.03,1917.95,3244.402083333333
2025-01-02 06:00:00,6,3,1,0,14.75,175.1,25.0,2243.82,1942.3,2092.61,3245.4166666666665
2025-01-02 07:00:00,7,3,1,0,16.1,171.0,32.8,2199.31,2243.82,2086.18,3251.7170833333334
2025-01-02 08:00:00,8,3,1,0,22.06,351.4,40.2,4396.04,2199.31,4344.13,3256.4308333333333
2025-01-02 09:00:00,9,3,1,0,22.05,351.7,46.8,4374.47,4396.04,4229.84,3258.59375
2025-01-02 10:00:00,10,3,1,0,27.91,298.2,52.4,4243.35,4374.47,4175.24,3264.6200000000003
2025-01-02 11:00:00,11,3,1,0,28.49,348.9,56.5,4448.78,4243.35,4441.24,3267.4579166666667
2025-01-02 12:00:00,12,3,1,0,29.8,313.4,59.1,4335.06,4448.78,4455.35,3267.7720833333333
2025-01-02 13:00:00,13,3,1,0,31.35,307.0,60.0,4369.9,4335.06,4337.29,3262.76
2025-01-02 14:00:00,14,3,1,0,30.59,321.5,59.1,4456.23,4369.9,4189.21,3264.1187499999996
2025-01-02 15:00:00,15,3,1,0,28.71,357.7,56.5,4495.86,4456.23,4371.06,3275.2445833333336
2025-01-02 16:00:00,16,3,1,0,30.55,302.8,52.4,4301.75,4495.86,4292.79,3280.4445833333334
2025-01-02 17:00:00,17,3,1,0,28.2,250.2,46.8,3456.73,4301.75,3548.65,3280.817916666667
2025-01-02 18:00:00,18,3,1,0,26.51,221.6,40.2,3303.69,3456.73,3308.14,3276.987916666667
2025-01-02 19:00:00,19,3,1,0,24.82,229.4,32.8,3336.98,3303.69,3422.5,3276.8025000000002
2025-01-02 20:00:00,20,3,1,0,18.8,229.0,25.0,3349.32,3336.98,3526.67,3273.2391666666667
2025-01-02 21:00:00,21,3,1,0,17.77,260.6,25.0,3505.59,3349.32,3180.29,3265.849583333333
2025-01-02 22:00:00,22,3,1,0,13.26,217.2,25.0,3283.79,3505.59,3449.95,3279.40375
2025-01-02 23:00:00,23,3,1,0,11.66,123.1,25.0,1971.36,3283.79,2040.98,3272.4804166666668
2025-01-03 00:00:00,0,4,1,0,9.62,157.4,25.0,2108.18,1971.36,2161.99,3269.5795833333336
2025-01-03 01:00:00,1,4,1,0,6.82,125.9,25.0,2025.96,2108.18,2112.74,3267.3375
2025-01-03 02:00:00,2,4,1,0,8.93,158.4,25.0,2120.95,2025.96,1998.07,3263.7216666666664
2025-01-03 03:00:00,3,4,1,0,7.23,119.6,25.0,1966.49,2120.95,2095.75,3268.8416666666667
2025-01-03 04:00:00,4,4,1,0,9.07,174.7,25.0,2215.39,1966.49,2087.03,3263.4558333333334
2025-01-03 05:00:00,5,4,1,0,11.86,156.2,25.0,2178.78,2215.39,1942.3,3268.804166666667
2025-01-03 06:00:00,6,4,1,0,13.51,147.1,25.0,2076.02,2178.78,2243.82,3278.6575
2025-01-03 07:00:00,7,4,1,0,17.28,172.8,32.8,2218.24,2076.02,2199.31,3271.665833333333
2025-01-03 08:00:00,8,4,1,0,21.95,307.1,40.2,4180.84,2218.24,4396.04,3272.4545833333336
2025-01-03 09:00:00,9,4,1,0,23.48,351.8,46.8,4405.11,4180.84,4374.47,3263.487916666667
2025-01-03 10:00:00,10,4,1,0,26.34,331.4,52.4,4392.22,4405.11,4243.35,3264.7645833333336
2025-01-03 11:00:00,11,4,1,0,28.92,280.7,56.5,4176.1,4392.22,4448.78,3270.9675
2025-01-03 12:00:00,12,4,1,0,30.65,280.4,59.1,4183.36,4176.1,4335.06,3259.605833333333
2025-01-03 13:00:00,13,4,1,0,29.8,335.4,60.0,4461.16,4183.36,4369.9,3253.285
2025-01-03 14:00:00,14,4,1,0,30.87,337.0,59.1,4406.15,4461.16,4456.23,3257.0875
2025-01-03 15:00:00,15,4,1,0,33.04,339.7,56.5,4524.96,4406.15,4495.86,3255.000833333333
2025-01-03 16:00:00,16,4,1,0,29.09,332.6,52.4,4414.91,4524.96,4301.75,3256.213333333333
2025-01-03 17:00:00,17,4,1,0,27.15,239.4,46.8,3346.59,4414.91,3456.73,3260.9283333333333
2025-01-03 18:00:00,18,4,1,0,27.32,287.8,40.2,3559.54,3346.59,3303.69,3256.3391666666666
2025-01-03 19:00:00,19,4,1,0,23.13,260.5,32.8,3472.08,3559.54,3336.98,3266.999583333333
2025-01-03 20:00:00,20,4,1,0,17.89,256.2,25.0,3388.62,3472.08,3349.32,3272.62875
2025-01-03 21:00:00,21,4,1,0,15.29,267.8,25.0,3456.14,3388.62,3505.59,3274.26625
2025-01-03 22:00:00,22,4,1,0,13.81,285.2,25.0,3534.01,3456.14,3283.79,3272.2058333333334
2025-01-03 23:00:00,23,4,1,0,10.24,177.7,25.0,2133.36,3534.01,1971.36,3282.6316666666667
2025-01-04 00:00:00,0,5,1,1,8.22,54.0,7.5,945.49,2133.36,2108.18,3289.3816666666667
2025-01-04 01:00:00,1,5,1,1,8.67,42.3,7.5,941.17,945.49,2025.96,3240.93625
2025-01-04 02:00:00,2,5,1,1,8.35,42.8,7.5,889.45,941.17,2120.95,3195.736666666667
2025-01-04 03:00:00,3,5,1,1,8.5,59.6,7.5,938.25,889.45,1966.49,3144.424166666667
2025-01-04 04:00:00,4,5,1,1,10.92,55.1,7.5,1020.54,938.25,2215.39,3101.5808333333334
2025-01-04 05:00:00,5,5,1,1,9.45,48.1,7.5,903.78,1020.54,2178.78,3051.7954166666664
2025-01-04 06:00:00,6,5,1,1,14.46,52.4,7.5,973.8,903.78,2076.02,2998.6704166666664
2025-01-04 07:00:00,7,5,1,1,17.67,56.5,9.8,1151.39,973.8,2218.24,2952.744583333333
2025-01-04 08:00:00,8,5,1,1,22.0,51.9,12.1,1005.01,1151.39,4180.84,2908.2924999999996
2025-01-04 09:00:00,9,5,1,1,22.63,51.8,14.0,994.31,1005.01,4405.11,2775.96625
2025-01-04 10:00:00,10,5,1,1,26.25,35.0,15.7,898.23,994.31,4392.22,2633.849583333333
2025-01-04 11:00:00,11,5,1,1,31.96,21.4,17.0,903.87,898.23,4176.1,2488.266666666667
2025-01-04 12:00:00,12,5,1,1,29.77,31.5,17.7,990.23,903.87,4183.36,2351.92375
2025-01-04 13:00:00,13,5,1,1,30.88,21.5,18.0,1017.78,990.23,4461.16,2218.8766666666666
2025-01-04 14:00:00,14,5,1,1,34.34,25.1,17.7,1050.43,1017.78,4406.15,2075.4024999999997
2025-01-04 15:00:00,15,5,1,1,30.5,28.6,17.0,998.67,1050.43,4524.96,1935.5808333333332
2025-01-04 16:00:00,16,5,1,1,33.98,22.1,15.7,1109.57,998.67,4414.91,1788.6520833333334
2025-01-04 17:00:00,17,5,1,1,25.45,45.5,14.0,970.54,1109.57,3346.59,1650.9295833333335
2025-01-04 18:00:00,18,5,1,1,25.33,51.8,12.1,908.96,970.54,3559.54,1551.9275
2025-01-04 19:00:00,19,5,1,1,23.86,23.1,9.8,890.08,908.96,3472.08,1441.4866666666667
2025-01-04 20:00:00,20,5,1,1,19.5,36.4,7.5,887.06,890.08,3388.62,1333.9033333333334
2025-01-04 21:00:00,21,5,1,1,19.54,30.0,7.5,895.46,887.06,3456.14,1229.6716666666669
2025-01-04 22:00:00,22,5,1,1,14.57,46.4,7.5,1013.86,895.46,3534.01,1122.9766666666667
2025-01-04 23:00:00,23,5,1,1,9.24,44.5,7.5,910.39,1013.86,2133.36,1017.9704166666667
2025-01-05 00:00:00,0,6,1,1,9.25,34.2,7.5,977.55,910.39,945.49,967.0133333333333
2025-01-05 01:00:00,1,6,1,1,3.55,23.9,7.5,807.97,977.55,941.17,968.3491666666667
2025-01-05 02:00:00,2,6,1,1,5.01,26.9,7.5,807.02,807.97,889.45,962.7991666666667
2025-01-05 03:00:00,3,6,1,1,7.75,44.6,7.5,938.69,807.02,938.25,959.3645833333334
2025-01-05 04:00:00,4,6,1,1,9.7,35.0,7.5,1001.8,938.69,1020.54,959.3829166666666
2025-01-05 05:00:00,5,6,1,1,10.04,54.3,7.5,990.18,1001.8,903.78,958.6020833333333
2025-01-05 06:00:00,6,6,1,1,13.7,22.8,7.5,852.67,990.18,973.8,962.2020833333332
2025-01-05 07:00:00,7,6,1,1,17.06,43.4,9.8,958.03,852.67,1151.39,957.1549999999999
2025-01-05 08:00:00,8,6,1,1,19.08,35.5,12.1,993.21,958.03,1005.01,949.0983333333334
2025-01-05 09:00:00,9,6,1,1,22.88,41.8,14.0,948.61,993.21,994.31,948.6066666666667
2025-01-05 10:00:00,10,6,1,1,25.27,58.4,15.7,1017.51,948.61,898.23,946.7025
2025-01-05 11:00:00,11,6,1,1,27.6,32.8,17.0,990.74,1017.51,903.87,951.6725
2025-01-05 12:00:00,12,6,1,1,31.82,24.7,17.7,1063.29,990.74,990.23,955.2920833333334
2025-01-05 13:00:00,13,6,1,1,32.81,55.1,18.0,1159.5,1063.29,1017.78,958.33625
2025-01-05 14:00:00,14,6,1,1,32.83,31.3,17.7,1009.01,1159.5,1050.43,964.24125
2025-01-05 15:00:00,15,6,1,1,31.56,52.3,17.0,1103.19,1009.01,998.67,962.5154166666666
2025-01-05 16:00:00,16,6,1,1,29.39,34.9,15.7,1045.03,1103.19,1109.57,966.8704166666666
2025-01-05 17:00:00,17,6,1,1,28.16,57.2,14.0,1104.98,1045.03,970.54,964.1812500000001
2025-01-05 18:00:00,18,6,1,1,25.39,50.0,12.1,990.09,1104.98,908.96,969.7829166666667
2025-01-05 19:00:00,19,6,1,1,25.06,56.1,9.8,996.49,990.09,890.08,973.1633333333334
2025-01-05 20:00:00,20,6,1,1,19.64,32.8,7.5,926.28,996.49,887.06,977.5970833333332
2025-01-05 21:00:00,21,6,1,1,17.38,20.4,7.5,834.99,926.28,895.46,979.2312499999999
2025-01-05 22:00:00,22,6,1,1,16.87,58.0,7.5,1031.63,834.99,1013.86,976.7116666666666
2025-01-05 23:00:00,23,6,1,1,10.01,37.9,7.5,852.73,1031.63,910.39,977.4520833333332
2025-01-06 00:00:00,0,0,1,0,10.76,157.1,25.0,2153.31,852.73,977.55,975.0495833333333
2025-01-06 01:00:00,1,0,1,0,8.39,165.3,25.0,2114.06,2153.31,807.97,1024.0395833333334
2025-01-06 02:00:00,2,0,1,0,4.86,114.0,25.0,2039.38,2114.06,807.02,1078.4599999999998
2025-01-06 03:00:00,3,0,1,0,7.17,172.1,25.0,2166.07,2039.38,938.69,1129.8083333333332
2025-01-06 04:00:00,4,0,1,0,10.53,120.0,25.0,2043.54,2166.07,1001.8,1180.9491666666665
2025-01-06 05:00:00,5,0,1,0,11.88,117.1,25.0,1948.49,2043.54,990.18,1224.355
2025-01-06 06:00:00,6,0,1,0,14.84,115.1,25.0,2003.02,1948.49,852.67,1264.2845833333333
2025-01-06 07:00:00,7,0,1,0,14.72,115.7,32.8,1902.7,2003.02,958.03,1312.2158333333334
2025-01-06 08:00:00,8,0,1,0,19.0,345.0,40.2,4425.1,1902.7,993.21,1351.5770833333333
2025-01-06 09:00:00,9,0,1,0,23.57,286.7,46.8,4208.58,4425.1,948.61,1494.5725
2025-01-06 10:00:00,10,0,1,0,25.55,313.9,52.4,4273.4,4208.58,1017.51,1630.4045833333332
2025-01-06 11:00:00,11,0,1,0,28.97,317.5,56.5,4311.5,4273.4,990.74,1766.0666666666666
2025-01-06 12:00:00,12,0,1,0,31.13,339.7,59.1,4475.96,4311.5,1063.29,1904.4316666666666
2025-01-06 13:00:00,13,0,1,0,32.63,310.0,60.0,4367.98,4475.96,1159.5,2046.62625
2025-01-06 14:00:00,14,0,1,0,32.1,297.9,59.1,4374.91,4367.98,1009.01,2180.3129166666663
2025-01-06 15:00:00,15,0,1,0,31.74,359.4,56.5,4523.15,4374.91,1103.19,2320.5587499999997
2025-01-06 16:00:00,16,0,1,0,33.81,357.5,52.4,4606.26,4523.15,1045.03,2463.0570833333336
2025-01-06 17:00:00,17,0,1,0,31.72,265.7,46.8,3530.65,4606.26,1104.98,2611.441666666667
2025-01-06 18:00:00,18,0,1,0,25.83,256.7,40.2,3469.37,3530.65,990.09,2712.51125
2025-01-06 19:00:00,19,0,1,0,21.85,259.6,32.8,3376.35,3469.37,996.49,2815.8145833333333
2025-01-06 20:00:00,20,0,1,0,21.55,247.1,25.0,3274.31,3376.35,926.28,2914.9754166666667
2025-01-06 21:00:00,21,0,1,0,17.41,216.2,25.0,3322.86,3274.31,834.99,3012.81
2025-01-06 22:00:00,22,0,1,0,14.86,234.8,25.0,3352.57,3322.86,1031.63,3116.47125
2025-01-06 23:00:00,23,0,1,0,9.53,121.4,25.0,2070.07,3352.57,852.73,3213.1770833333335
2025-01-07 00:00:00,0,1,1,0,9.5,175.3,25.0,2179.81,2070.07,2153.31,3263.8995833333333
2025-01-07 01:00:00,1,1,1,0,5.84,166.7,25.0,2220.93,2179.81,2114.06,3265.00375
2025-01-07 02:00:00,2,1,1,0,8.41,177.9,25.0,2214.94,2220.93,2039.38,3269.4566666666665
2025-01-07 03:00:00,3,1,1,0,6.02,142.8,25.0,2042.1,2214.94,2166.07,3276.771666666666
2025-01-07 04:00:00,4,1,1,0,10.0,113.9,25.0,1973.0,2042.1,2043.54,3271.6062500000003
2025-01-07 05:00:00,5,1,1,0,11.52,180.0,25.0,2212.44,1973.0,1948.49,3268.6670833333337
2025-01-07 06:00:00,6,1,1,0,13.53,163.8,25.0,2076.99,2212.44,2003.02,3279.6650000000004
2025-01-07 07:00:00,7,1,1,0,17.07,119.0,32.8,2001.91,2076.99,1902.7,3282.747083333333
2025-01-07 08:00:00,8,1,1,0,21.59,298.3,40.2,4255.67,2001.91,4425.1,3286.880833333333
2025-01-07 09:00:00,9,1,1,0,23.6,308.7,46.8,4192.0,4255.67,4208.58,3279.8212499999995
2025-01-07 10:00:00,10,1,1,0,26.17,321.6,52.4,4383.88,4192.0,4273.4,3279.1304166666664
2025-01-07 11:00:00,11,1,1,0,31.58,348.2,56.5,4591.23,4383.88,4311.5,3283.73375
2025-01-07 12:00:00,12,1,1,0,28.86,350.1,59.1,4458.7,4591.23,4475.96,3295.3891666666664
2025-01-07 13:00:00,13,1,1,0,32.56,282.3,60.0,4341.2,4458.7,4367.98,3294.67
2025-01-07 14:00:00,14,1,1,0,31.35,336.3,59.1,4447.73,4341.2,4374.91,3293.5541666666663
2025-01-07 15:00:00,15,1,1,0,33.18,281.2,56.5,4207.3,4447.73,4523.15,3296.588333333333
2025-01-07 16:00:00,16,1,1,0,31.72,311.4,52.4,4368.86,4207.3,4606.26,3283.427916666667
2025-01-07 17:00:00,17,1,1,0,30.74,237.9,46.8,3445.3,4368.86,3530.65,3273.5362499999997
2025-01-07 18:00:00,18,1,1,0,27.47,241.7,40.2,3412.73,3445.3,3469.37,3269.9799999999996
2025-01-07 19:00:00,19,1,1,0,20.55,286.0,32.8,3500.95,3412.73,3376.35,3267.6200000000003
2025-01-07 20:00:00,20,1,1,0,19.99,246.7,25.0,3372.52,3500.95,3274.31,3272.8116666666665
2025-01-07 21:00:00,21,1,1,0,14.94,236.3,25.0,3344.88,3372.52,3322.86,3276.90375
2025-01-07 22:00:00,22,1,1,0,12.35,216.1,25.0,3259.81,3344.88,3352.57,3277.8212499999995
2025-01-07 23:00:00,23,1,1,0,11.42,134.2,25.0,2079.33,3259.81,2070.07,3273.9562499999997
2025-01-08 00:00:00,0,2,1,0,8.94,156.7,25.0,2100.57,2079.33,2179.81,3274.342083333333
2025-01-08 01:00:00,1,2,1,0,7.61,112.9,25.0,1919.59,2100.57,2220.93,3271.0404166666667
2025-01-08 02:00:00,2,2,1,0,5.85,122.4,25.0,1982.87,1919.59,2214.94,3258.4845833333334
2025-01-08 03:00:00,3,2,1,0,11.36,135.5,25.0,2042.88,1982.87,2042.1,3248.815
2025-01-08 04:00:00,4,2,1,0,10.38,112.8,25.0,2009.07,2042.88,1973.0,3248.8475
2025-01-08 05:00:00,5,2,1,0,11.35,115.7,25.0,1956.2,2009.07,2212.44,3250.3504166666667
2025-01-08 06:00:00,6,2,1,0,12.9,166.4,25.0,2184.93,1956.2,2076.99,3239.67375
2025-01-08 07:00:00,7,2,1,0,16.48,124.7,32.8,1896.5,2184.93,2001.91,3244.17125
2025-01-08 08:00:00,8,2,1,0,19.06,329.5,40.2,4206.1,1896.5,4255.67,3239.7791666666667
2025-01-08 09:00:00,9,2,1,0,23.97,339.8,46.8,4358.04,4206.1,4192.0,3237.7137500000003
2025-01-08 10:00:00,10,2,1,0,24.54,320.9,52.4,4285.68,4358.04,4383.88,3244.6320833333334
2025-01-08 11:00:00,11,2,1,0,26.08,315.8,56.5,4299.33,4285.68,4591.23,3240.5404166666667
2025-01-08 12:00:00,12,2,1,0,30.11,301.5,59.1,4306.51,4299.33,4458.7,3228.377916666667
2025-01-08 13:00:00,13,2,1,0,30.62,305.8,60.0,4285.22,4306.51,4341.2,3222.036666666667
2025-01-08 14:00:00,14,2,1,0,32.33,289.6,59.1,4344.08,4285.22,4447.73,3219.7041666666664
2025-01-08 15:00:00,15,2,1,0,31.58,334.3,56.5,4526.27,4344.08,4207.3,3215.3854166666665
2025-01-08 16:00:00,16,2,1,0,33.95,287.0,52.4,4368.05,4526.27,4368.86,3228.6758333333332
2025-01-08 17:00:00,17,2,1,0,26.93,269.6,46.8,3485.58,4368.05,3445.3,3228.6420833333336
2025-01-08 18:00:00,18,2,1,0,28.09,232.7,40.2,3315.82,3485.58,3412.73,3230.320416666667
2025-01-08 19:00:00,19,2,1,0,21.01,255.7,32.8,3413.65,3315.82,3500.95,3226.2825
2025-01-08 20:00:00,20,2,1,0,19.31,218.1,25.0,3217.57,3413.65,3372.52,3222.645
2025-01-08 21:00:00,21,2,1,0,16.01,222.9,25.0,3224.77,3217.57,3344.88,3216.18875
2025-01-08 22:00:00,22,2,1,0,10.25,223.9,25.0,3298.31,3224.77,3259.81,3211.1841666666664
2025-01-08 23:00:00,23,2,1,0,11.16,178.8,25.0,2164.87,3298.31,2079.33,3212.788333333334
2025-01-09 00:00:00,0,3,1,0,9.96,177.9,25.0,2214.59,2164.87,2100.57,3216.3525000000004
2025-01-09 01:00:00,1,3,1,0,9.16,128.1,25.0,1969.01,2214.59,1919.59,3221.103333333333
2025-01-09 02:00:00,2,3,1,0,11.06,175.1,25.0,2264.5,1969.01,1982.87,3223.1625000000004
2025-01-09 03:00:00,3,3,1,0,7.41,129.6,25.0,2044.55,2264.5,2042.88,3234.8970833333333
2025-01-09 04:00:00,4,3,1,0,10.03,132.7,25.0,1907.16,2044.55,2009.07,3234.9666666666667
2025-01-09 05:00:00,5,3,1,0,11.9,127.0,25.0,1968.19,1907.16,1956.2,3230.720416666667
2025-01-09 06:00:00,6,3,1,0,12.29,130.2,25.0,2033.22,1968.19,2184.93,3231.22
2025-01-09 07:00:00,7,3,1,0,15.92,143.7,32.8,2074.52,2033.22,1896.5,3224.8987500000003
2025-01-09 08:00:00,8,3,1,0,19.1,306.9,40.2,4253.34,2074.52,4206.1,3232.3162500000003
2025-01-09 09:00:00,9,3,1,0,23.9,334.5,46.8,4388.85,4253.34,4358.04,3234.2845833333336
2025-01-09 10:00:00,10,3,1,0,23.34,317.7,52.4,4213.69,4388.85,4285.68,3235.568333333333
2025-01-09 11:00:00,11,3,1,0,29.04,354.4,56.5,4462.95,4213.69,4299.33,3232.56875
2025-01-09 12:00:00,12,3,1,0,31.12,355.1,59.1,4601.4,4462.95,4306.51,3239.3862499999996
2025-01-09 13:00:00,13,3,1,0,32.1,347.3,60.0,4499.94,4601.4,4285.22,3251.6733333333336
2025-01-09 14:00:00,14,3,1,0,31.52,296.1,59.1,4299.14,4499.94,4344.08,3260.6200000000003
2025-01-09 15:00:00,15,3,1,0,32.03,345.2,56.5,4602.29,4299.14,4526.27,3258.7475
2025-01-09 16:00:00,16,3,1,0,29.99,308.7,52.4,4376.29,4602.29,4368.05,3261.9149999999995
2025-01-09 17:00:00,17,3,1,0,25.43,275.3,46.8,3443.39,4376.29,3485.58,3262.2583333333337
2025-01-09 18:00:00,18,3,1,0,27.58,247.0,40.2,3381.89,3443.39,3315.82,3260.500416666667
2025-01-09 19:00:00,19,3,1,0,23.6,250.2,32.8,3357.77,3381.89,3413.65,3263.2533333333336
2025-01-09 20:00:00,20,3,1,0,21.34,240.7,25.0,3335.81,3357.77,3217.57,3260.9249999999997
2025-01-09 21:00:00,21,3,1,0,14.68,259.9,25.0,3456.04,3335.81,3224.77,3265.851666666667
2025-01-09 22:00:00,22,3,1,0,14.76,221.1,25.0,3313.27,3456.04,3298.31,3275.487916666667
2025-01-09 23:00:00,23,3,1,0,11.79,147.3,25.0,2097.47,3313.27,2164.87,3276.11125
2025-01-10 00:00:00,0,4,1,0,7.97,120.6,25.0,1947.98,2097.47,2214.59,3273.302916666667
2025-01-10 01:00:00,1,4,1,0,8.52,162.1,25.0,2120.8,1947.98,1969.01,3262.1941666666667
2025-01-10 02:00:00,2,4,1,0,7.48,163.4,25.0,2184.53,2120.8,2264.5,3268.5187499999997
2025-01-10 03:00:00,3,4,1,0,8.0,167.5,25.0,2118.81,2184.53,2044.55,3265.186666666667
2025-01-10 04:00:00,4,4,1,0,8.97,165.8,25.0,2131.61,2118.81,1907.16,3268.2808333333337
2025-01-10 05:00:00,5,4,1,0,12.82,160.6,25.0,2197.52,2131.61,1968.19,3277.632916666667
2025-01-10 06:00:00,6,4,1,0,11.55,158.6,25.0,2141.63,2197.52,2033.22,3287.1883333333335
2025-01-10 07:00:00,7,4,1,0,14.23,134.2,32.8,2103.68,2141.63,2074.52,3291.705416666666
2025-01-10 08:00:00,8,4,1,0,20.27,317.0,40.2,4376.21,2103.68,4253.34,3292.9204166666664
2025-01-10 09:00:00,9,4,1,0,23.27,328.9,46.8,4335.34,4376.21,4388.85,3298.0399999999995
2025-01-10 10:00:00,10,4,1,0,26.33,335.7,52.4,4390.33,4335.34,4213.69,3295.810416666667
2025-01-10 11:00:00,11,4,1,0,31.31,292.2,56.5,4355.27,4390.33,4462.95,3303.1704166666664
2025-01-10 12:00:00,12,4,1,0,30.67,313.9,59.1,4370.27,4355.27,4601.4,3298.68375
2025-01-10 13:00:00,13,4,1,0,30.11,354.0,60.0,4502.43,4370.27,4499.94,3289.0533333333333
2025-01-10 14:00:00,14,4,1,0,35.81,358.8,59.1,4652.31,4502.43,4299.14,3289.157083333333
2025-01-10 15:00:00,15,4,1,0,31.35,311.9,56.5,4351.26,4652.31,4602.29,3303.8725
2025-01-10 16:00:00,16,4,1,0,31.67,344.2,52.4,4394.51,4351.26,4376.29,3293.4129166666667
2025-01-10 17:00:00,17,4,1,0,26.55,283.6,46.8,3482.06,4394.51,3443.39,3294.172083333333
2025-01-10 18:00:00,18,4,1,0,23.75,269.0,40.2,3427.27,3482.06,3381.89,3295.7833333333333
2025-01-10 19:00:00,19,4,1,0,22.74,246.2,32.8,3340.07,3427.27,3357.77,3297.674166666666
2025-01-10 20:00:00,20,4,1,0,21.21,249.9,25.0,3359.23,3340.07,3335.81,3296.936666666667
2025-01-10 21:00:00,21,4,1,0,19.67,239.0,25.0,3375.66,3359.23,3456.04,3297.9125000000004
2025-01-10 22:00:00,22,4,1,0,12.47,211.0,25.0,3242.03,3375.66,3313.27,3294.5633333333335
2025-01-10 23:00:00,23,4,1,0,11.11,177.3,25.0,2150.25,3242.03,2097.47,3291.595
2025-01-11 00:00:00,0,5,1,1,9.61,23.4,7.5,859.29,2150.25,1947.98,3293.7941666666666
2025-01-11 01:00:00,1,5,1,1,8.43,43.8,7.5,928.61,859.29,2120.8,3248.432083333333
2025-01-11 02:00:00,2,5,1,1,7.83,28.4,7.5,878.08,928.61,2184.53,3198.7574999999997
2025-01-11 03:00:00,3,5,1,1,8.36,27.6,7.5,843.73,878.08,2118.81,3144.322083333333
2025-01-11 04:00:00,4,5,1,1,11.69,42.6,7.5,805.39,843.73,2131.61,3091.19375
2025-01-11 05:00:00,5,5,1,1,13.38,37.6,7.5,812.89,805.39,2197.52,3035.9345833333336
2025-01-11 06:00:00,6,5,1,1,14.43,26.2,7.5,851.33,812.89,2141.63,2978.241666666667
2025-01-11 07:00:00,7,5,1,1,14.78,57.8,9.8,948.01,851.33,2103.68,2924.4791666666665
2025-01-11 08:00:00,8,5,1,1,19.46,45.8,12.1,933.96,948.01,4376.21,2876.32625
